iter	RMSE
0	0.9656792828
1	0.9387627738
2	0.9125292297
3	0.8873207645
4	0.8628742305
5	0.8389468552
6	0.8157569248
7	0.7933420429
8	0.7714097622
9	0.7503458064
10	0.7298735931
11	0.7098382646
12	0.69034269
13	0.6715980232
14	0.6534349593
15	0.6357163172
16	0.6185349561
17	0.6018192202
18	0.5857638569
19	0.5700960995
20	0.5548044786
21	0.5400634349
22	0.5256953633
23	0.5118193566
24	0.4983988384
25	0.4854044879
26	0.4727387555
27	0.460468782
28	0.4486492726
29	0.4370968388
30	0.4258602008
31	0.41500709
32	0.4045698356
33	0.3943539569
34	0.3844632188
35	0.3748880764
36	0.3655895629
37	0.3566303484
38	0.3479736562
39	0.3396780295
40	0.3314818504
41	0.3235699462
42	0.3159685925
43	0.3085963985
44	0.3014400038
45	0.2945085731
46	0.2878251068
47	0.2812884472
48	0.2750177216
49	0.2689438767
50	0.2630650449
51	0.2574794558
52	0.2519779514
53	0.2466806097
54	0.2415560663
55	0.236624824
56	0.2318701348
57	0.2272608489
58	0.2228062244
59	0.2185177027
60	0.2144418123
61	0.2104971635
62	0.2066729754
63	0.2030149108
64	0.1994211138
65	0.1960298725
66	0.1927724486
67	0.1896015399
68	0.1865720216
69	0.1836459373
70	0.1808354176
71	0.1780933515
72	0.1755547305
73	0.173063292
74	0.1707064276
75	0.1684226506
76	0.1662617887
77	0.1641420948
78	0.1620649141
79	0.1601350409
80	0.1582794801
81	0.1565099349
82	0.1548188742
83	0.1531758122
84	0.1516563735
85	0.1501704319
86	0.1487564151
87	0.1474262602
88	0.1461510261
89	0.1449315806
90	0.1437960616
91	0.1426469519
92	0.1415811562
93	0.1405616366
94	0.1396000661
95	0.1386800396
96	0.1378059739
97	0.1369423434
98	0.1361464805
99	0.135392724
100	0.1346609447
101	0.1339800206
102	0.1333119208
103	0.1326691164
104	0.1320864205
105	0.1315200776
106	0.1309950092
107	0.1304738825
108	0.1299687516
109	0.1294923967
110	0.1290450249
111	0.1286140249
112	0.1282057424
113	0.1278205525
114	0.127454329
115	0.1271110019
116	0.1267766855
117	0.1264580181
118	0.1261587749
119	0.1258794628
120	0.1256116295
121	0.1253616376
122	0.1251149842
123	0.1248869914
124	0.1246671179
125	0.1244540694
126	0.1242548959
127	0.1240718746
128	0.1238897058
129	0.1237256617
130	0.1235622482
131	0.1234117217
132	0.1232601263
133	0.1231216066
134	0.1229909848
135	0.122858515
136	0.1227366772
137	0.1226218089
138	0.1225129153
139	0.1224084895
140	0.1223063172
141	0.1222054091
142	0.1221163046
143	0.1220308703
144	0.1219436005
145	0.1218705883
146	0.1217996858
147	0.1217234331
148	0.1216520016
149	0.1215489825
150	0.1214830878
151	0.1214192423
152	0.1213592198
153	0.1212997619
154	0.1212418219
155	0.1211875767
156	0.1211408084
157	0.1210932336
