iter	Passed	Remaining
0	47	23608
1	88	21971
2	135	22408
3	174	21643
4	215	21346
5	252	20752
6	286	20182
7	327	20113
8	362	19801
9	398	19525
10	442	19657
11	502	20430
12	537	20150
13	574	19941
14	611	19780
15	646	19565
16	688	19556
17	736	19732
18	811	20540
19	858	20597
20	893	20377
21	928	20179
22	964	20005
23	1001	19860
24	1036	19702
25	1076	19628
26	1124	19706
27	1169	19718
28	1221	19831
29	1266	19837
30	1312	19856
31	1350	19757
32	1384	19598
33	1421	19478
34	1457	19362
35	1495	19274
36	1529	19137
37	1564	19016
38	1605	18972
39	1639	18856
40	1671	18718
41	1708	18634
42	1742	18520
43	1774	18393
44	1807	18270
45	1841	18175
46	1875	18077
47	1909	17977
48	1942	17877
49	1973	17765
50	2005	17657
51	2063	17775
52	2108	17783
53	2158	17830
54	2190	17725
55	2233	17705
56	2271	17651
57	2303	17551
58	2345	17529
59	2378	17441
60	2410	17351
61	2460	17383
62	2497	17326
63	2536	17280
64	2571	17211
65	2607	17144
66	2643	17082
67	2673	16986
68	2706	16906
69	2742	16847
70	2776	16776
71	2807	16690
72	2856	16707
73	2889	16634
74	2921	16553
75	2953	16476
76	2986	16408
77	3017	16327
78	3058	16299
79	3100	16278
80	3139	16241
81	3179	16209
82	3212	16141
83	3250	16095
84	3289	16058
85	3320	15983
86	3353	15920
87	3386	15855
88	3419	15789
89	3456	15746
90	3487	15675
91	3518	15604
92	3552	15545
93	3586	15490
94	3621	15440
95	3653	15375
96	3684	15307
97	3720	15260
98	3751	15196
99	3784	15136
100	3819	15087
101	3853	15038
102	3888	14985
103	3926	14951
104	3965	14918
105	3996	14855
106	4026	14790
107	4064	14753
108	4100	14708
109	4130	14646
110	4161	14583
111	4194	14531
112	4225	14470
113	4261	14429
114	4292	14370
115	4323	14311
116	4362	14279
117	4395	14231
118	4444	14229
119	4480	14188
120	4512	14133
121	4556	14118
122	4586	14057
123	4615	13995
124	4649	13947
125	4679	13889
126	4709	13833
127	4742	13783
128	4772	13726
129	4802	13667
130	4836	13623
131	4877	13598
132	4916	13565
133	4958	13544
134	5001	13522
135	5035	13476
136	5065	13423
137	5103	13387
138	5134	13333
139	5165	13283
140	5194	13226
141	5228	13180
142	5264	13142
143	5300	13104
144	5333	13059
145	5367	13015
146	5401	12969
147	5450	12963
148	5487	12927
149	5520	12881
150	5553	12835
151	5592	12803
152	5625	12759
153	5656	12707
154	5692	12670
155	5727	12629
156	5767	12600
157	5799	12553
158	5837	12519
159	5871	12476
160	5907	12438
161	5941	12396
162	5974	12352
163	6006	12306
164	6039	12261
165	6073	12219
166	6107	12177
167	6140	12134
168	6170	12085
169	6209	12053
170	6242	12011
171	6281	11977
172	6315	11937
173	6354	11905
174	6391	11869
175	6437	11850
176	6476	11818
177	6510	11777
178	6550	11747
179	6584	11706
180	6623	11672
181	6668	11652
182	6714	11630
183	6745	11585
184	6778	11541
185	6810	11496
186	6839	11447
187	6875	11410
188	6911	11373
189	6945	11332
190	6981	11293
191	7014	11253
192	7049	11213
193	7084	11174
194	7120	11136
195	7152	11093
196	7184	11049
197	7219	11012
198	7257	10976
199	7291	10936
200	7330	10904
201	7373	10877
202	7404	10833
203	7440	10795
204	7468	10746
205	7504	10710
206	7533	10662
207	7575	10634
208	7608	10593
209	7640	10551
210	7673	10510
211	7710	10475
212	7743	10434
213	7781	10398
214	7812	10356
215	7849	10321
216	7880	10277
217	7913	10237
218	7949	10200
219	7977	10152
220	8005	10106
221	8038	10065
