model,scaler,sMAPE,MASE
CatBoost,none,0.05577156297612303,2.580733896412324
CatBoost,standard,0.47913615898918144,2.569743919768824
CatBoost,robust,0.4348845724776406,2.575927280764124
CatBoost,quantile,0.5292655929765291,3.7517827675414925
PatchTST,none,0.054255343361975364,2.550444797538886
PatchTST,standard,0.4745895049185788,2.519944349096257
PatchTST,robust,0.4326913719634551,2.51983234551827
PatchTST,quantile,0.5282311342164772,3.612315372022678
Naive,none,0.05387734579857973,2.5566784166092584
Naive,standard,0.47993665377039574,2.556678416609259
Naive,robust,0.4377374968216745,2.556678416609259
Naive,quantile,0.5276107800440291,3.6170497397992993
SeasonalNaive,none,0.05382484821909046,2.5203007364259458
SeasonalNaive,standard,0.4812202313500626,2.5203007364259458
SeasonalNaive,robust,0.4474051024239381,2.5203007364259458
SeasonalNaive,quantile,0.5391342249320938,3.584520240919696
